(Intercept),vix_f,vix^2,vix^3,vix^4,vix^5,vix^6,vix_ln,vix_sqrt,vix_1ov,adjR^2,AIC,delta
-2.197857444,0.901835748,,,,,,,,,0.547227454,53575.49578,125.7162952
18833.50735,10214.92714,-100.0459101,1.312847692,-0.012881639,7.61E-05,-1.98E-07,90009.27406,-104360.7989,106022.0538,0.555081223,53449.77949,0
16.87066724,-3.066463703,0.334224599,-0.014307104,0.000317436,-3.41E-06,1.39E-08,,,,0.554485682,53454.61285,4.833356891
30.97411594,,0.248884192,-0.012203678,0.00028529,-3.14E-06,1.30E-08,,-12.02278757,,0.554485625,53454.61387,4.834385314
28.42055828,,0.205684866,-0.010774028,0.000260565,-2.92E-06,1.22E-08,-14.0404466,,,0.554483144,53454.65897,4.879485853
71.22728968,8.847808281,,-0.006006894,0.000189706,-2.35E-06,1.03E-08,,-46.52442816,,0.55447963,53454.72287,4.943381145
1665.678842,301.9764354,-3.802628696,0.052333705,-0.000435814,1.53E-06,,1447.467622,-2428.072183,,0.554588019,53454.75228,4.972793235
1639.063937,168.666228,-2.788267446,0.042644672,-0.000374196,1.35E-06,,,-909.0840558,-2031.851805,0.554585524,53454.79765,5.018162908
1617.666677,88.62739458,-2.175412215,0.036755629,-0.000336535,1.24E-06,,-863.5121563,,-3236.335882,0.554583041,53454.8428,5.06330885
-10.97987286,,0.161593556,-0.00893636,0.000224766,-2.58E-06,1.10E-08,,,100.0017494,0.554471966,53454.86218,5.0826955
46.1968024,4.848410288,,-0.00505592,0.00016756,-2.12E-06,9.45E-09,-35.97181178,,,0.554470559,53454.88776,5.108276061
1590.058179,,-1.493908466,0.030180021,-0.000294323,1.12E-06,,-1815.623831,1004.487286,-4558.910686,0.554579417,53454.90869,5.129198065
108.5795696,17.17918074,-0.237838688,,9.58E-05,-1.55E-06,7.56E-09,,-78.77359095,,0.554465644,53454.97709,5.197605084
1516.825084,-192.9737791,,0.015670494,-0.000200596,8.48E-07,,-3874.94152,3184.294083,-7401.219398,0.554568237,53455.11197,5.332486278
1280.463718,67.97189101,-1.584373692,0.024187542,-0.000168554,,3.87E-09,-677.3041934,,-2567.090509,0.554567936,53455.11743,5.337944614
1291.571594,,-1.099379779,0.020069421,-0.000148913,,3.58E-09,-1445.766886,791.9509693,-3676.012853,0.554567723,53455.12132,5.34182892
1267.04768,127.5601348,-2.00730713,0.027760593,-0.000185515,,4.11E-09,,-696.1363023,-1584.52225,0.554567468,53455.12596,5.346470534
15.80716546,,,-0.003893906,0.000140401,-1.85E-06,8.40E-09,-79.41112363,56.29005142,,0.554457062,53455.1331,5.353615313
1236.178218,222.0031969,-2.67201597,0.033331822,-0.000211768,,4.49E-09,1082.80739,-1804.227496,,0.554565427,53455.16305,5.383562659
1303.458233,-152.9107806,,0.010665389,-0.000103751,,2.91E-09,-3161.423739,2566.754259,-6133.54353,0.554564319,53455.18321,5.403724263
60.89554275,9.002065749,-0.179061198,,8.41E-05,-1.40E-06,6.88E-09,-54.46371647,,,0.554450748,53455.24787,5.468382518
1148.508124,-237.199981,0.819839763,,,-6.08E-07,4.48E-09,-3906.885414,3429.96984,-7010.452689,0.554555889,53455.33648,5.556995877
1299.415095,-323.1281725,1.235354132,,-5.21E-05,,2.13E-09,-5053.712074,4533.262063,-8820.248992,0.554555589,53455.34193,5.562437718
1060.614091,-108.8515901,,0.005256308,,-9.01E-07,5.98E-09,-2370.276666,1884.782135,-4717.225016,0.554555528,53455.34304,5.563549326
-36.35730015,2.832026814,,-0.003843797,0.00013585,-1.78E-06,8.08E-09,,,189.9532717,0.554444317,53455.36477,5.585282229
144.861765,25.37093591,-0.474654122,0.006056504,,-7.37E-07,4.71E-09,,-110.2875322,,0.554443008,53455.38857,5.609081082
971.0225454,,-0.687646521,0.00961752,,-1.14E-06,7.18E-09,-1052.727653,567.0719075,-2730.054823,0.554551469,53455.41684,5.63734925
1421.648216,-397.7788319,1.599463423,,-9.85E-05,5.47E-07,,-6041.909606,5487.777372,-10367.95211,0.554551088,53455.42377,5.644285324
926.8994692,46.62089767,-0.979386085,0.011450934,,-1.24E-06,7.68E-09,-483.0265572,,-1862.781452,0.554548665,53455.46782,5.688334513
885.7514926,85.84343059,-1.222957841,0.012970452,,-1.32E-06,8.08E-09,,-478.9363377,-1121.804882,0.554545779,53455.5203,5.740807458
4006.131706,739.855588,-10.15786559,0.162131821,-0.001767406,1.09E-05,-2.82E-08,3395.965881,-5801.526956,,0.554652771,53455.57483,5.795343229
809.4557272,-65.12861028,,,9.98E-05,-1.76E-06,8.87E-09,-1577.244362,1204.562517,-3284.108406,0.554542417,53455.58141,5.801923298
8.377223927,,-0.114042582,,7.11E-05,-1.22E-06,6.11E-09,-114.1454289,86.5171543,,0.554431895,53455.59057,5.811079845
1279.209601,-489.9475291,2.457476369,-0.010650912,,,1.33E-09,-6891.442537,6451.669335,-11407.22905,0.554541531,53455.59752,5.818027598
814.2242328,143.5924534,-1.576686663,0.01514838,,-1.43E-06,8.64E-09,721.1972582,-1189.037294,,0.554540507,53455.61614,5.836652288
660.7655259,,-0.30402498,,0.000135356,-2.16E-06,1.04E-08,-677.5798736,353.675784,-1817.129378,0.55453256,53455.76063,5.981141121
74.80427871,13.03875899,-0.355261553,0.005037553,,-6.55E-07,4.23E-09,-72.22101122,,,0.554422278,53455.76536,5.985875887
-86.68612668,,,-0.002811827,0.000109996,-1.51E-06,7.01E-09,,21.83158598,278.3211335,0.554421868,53455.77281,5.993326568
1314.818215,-589.8297111,3.113956257,-0.014983053,,2.54E-07,,-8054.938134,7637.57292,-13099.65814,0.554529387,53455.81831,6.038826456
593.7408982,26.89555492,-0.427954048,,0.000149501,-2.32E-06,1.10E-08,-301.2105579,,-1195.668171,0.554527642,53455.85003,6.070544753
175.5407188,32.38571237,-0.68014101,0.011382242,-8.53E-05,,2.11E-09,,-137.1010194,,0.554415157,53455.8948,6.115311213
-54.39274793,4.885941577,-0.119602969,,6.75E-05,-1.16E-06,5.79E-09,,,252.6452709,0.554413942,53455.91688,6.137396553
536.2013087,48.139177,-0.524545519,,0.000160245,-2.44E-06,1.14E-08,,-281.2068638,-691.9749825,0.554523328,53455.92846,6.148972787
