Data;Close;lr;sd_f22;sd_f11;sd_f5;sd_h22;sd_h11;sd_h5
22/01/1990;330.380005;;;;;;;
23/01/1990;331.609985;0.003716012;0.007776241;0.007906216;0.005420003;;;
24/01/1990;330.26001;-0.004079281;0.007760641;0.008647076;0.004263271;;;
25/01/1990;326.079987;-0.012737543;0.008319209;0.008576935;0.010590747;;;
26/01/1990;325.799988;-0.000859051;0.007912397;0.007443107;0.008811514;;;
29/01/1990;325.200012;-0.001843245;0.007956182;0.00828185;0.008879707;;;0.005420003
30/01/1990;322.980011;-0.006849979;0.00794147;0.008235454;0.00854868;;;0.004263271
31/01/1990;329.079987;0.018710407;0.00788697;0.007790007;0.008490651;;;0.010590747
01/02/1990;328.790009;-0.000881566;0.007085579;0.006276394;0.006426771;;;0.008811514
02/02/1990;330.920013;0.006457417;0.007490053;0.006673004;0.006622719;;;0.008879707
05/02/1990;331.850006;0.002806384;0.007447719;0.00773878;0.006325924;;;0.00854868
06/02/1990;329.660004;-0.006621245;0.007671822;0.007654089;0.007918259;;0.007906216;0.008490651
07/02/1990;333.75;0.012330377;0.007684877;0.007617502;0.007484259;;0.008647076;0.006426771
08/02/1990;332.959991;-0.002369874;0.007293142;0.0063593;0.005193768;;0.008576935;0.006622719
09/02/1990;333.619995;0.00198027;0.007486927;0.007938084;0.006366186;;0.007443107;0.006325924
12/02/1990;330.079987;-0.010667596;0.007493749;0.008081895;0.007017168;;0.00828185;0.007918259
13/02/1990;331.019989;0.002843753;0.007111302;0.007600989;0.008133963;;0.008235454;0.007484259
14/02/1990;332.01001;0.002986356;0.007417463;0.007593403;0.007887321;;0.007790007;0.005193768
15/02/1990;334.890015;0.008637045;0.007442441;0.007907614;0.007557107;;0.006276394;0.006366186
16/02/1990;332.720001;-0.006500866;0.007421931;0.007694518;0.004355428;;0.006673004;0.007017168
20/02/1990;327.98999;-0.014318209;0.007374355;0.008222991;0.0092396;;0.00773878;0.008133963
21/02/1990;327.670013;-0.000976046;0.007168531;0.006763057;0.007288541;;0.007654089;0.007887321
22/02/1990;325.700012;-0.006030295;0.007189702;0.006973421;0.007289236;0.007776241;0.007617502;0.007557107
23/02/1990;324.149994;-0.004770396;0.007009809;0.007084368;0.005952016;0.007760641;0.0063593;0.004355428
26/02/1990;328.670013;0.013847894;0.007145897;0.006626842;0.003937679;0.008319209;0.007938084;0.0092396
27/02/1990;330.26001;0.004826006;0.00669299;0.00663519;0.004612163;0.007912397;0.008081895;0.007288541
28/02/1990;331.890015;0.004923381;0.006748244;0.006579633;0.006003034;0.007956182;0.007600989;0.007289236
01/03/1990;332.73999;0.00255774;0.006750491;0.006532222;0.00669337;0.00794147;0.007593403;0.005952016
02/03/1990;335.540009;0.008379827;0.0068128;0.007097682;0.007200446;0.00788697;0.007907614;0.003937679
05/03/1990;333.73999;-0.005378984;0.00722691;0.006896066;0.008083433;0.007085579;0.007694518;0.004612163
06/03/1990;337.929993;0.012476536;0.007323242;0.00693066;0.007343425;0.007490053;0.008222991;0.006003034
07/03/1990;336.950012;-0.002904166;0.006888012;0.006380839;0.006527774;0.007447719;0.006763057;0.00669337
08/03/1990;340.269989;0.009804801;0.00686958;0.007289902;0.006600936;0.007671822;0.006973421;0.007200446
09/03/1990;337.929993;-0.006900635;0.006605155;0.006762331;0.005019339;0.007684877;0.007084368;0.008083433
12/03/1990;338.670013;0.002187468;0.006431913;0.006495987;0.006114125;0.007293142;0.006626842;0.007343425
13/03/1990;336;-0.00791506;0.006424845;0.007280487;0.006185271;0.007486927;0.00663519;0.006527774
14/03/1990;336.869995;0.002585924;0.006295899;0.006744481;0.00543905;0.007493749;0.006579633;0.006600936
15/03/1990;338.070007;0.003555911;0.006287752;0.006892383;0.006477021;0.007111302;0.006532222;0.005019339
16/03/1990;341.910004;0.011294561;0.006268145;0.006912102;0.00831078;0.007417463;0.007097682;0.006114125
19/03/1990;343.529999;0.004726885;0.006349026;0.006075384;0.006485142;0.007442441;0.006896066;0.006185271
20/03/1990;341.570007;-0.005721785;0.006443798;0.007394194;0.00578878;0.007421931;0.00693066;0.00543905
21/03/1990;339.73999;-0.005372067;0.006583976;0.007531647;0.00805876;0.007374355;0.006380839;0.006477021
22/03/1990;335.690002;-0.011992469;0.006941725;0.007358661;0.007605473;0.007168531;0.007289902;0.00831078
23/03/1990;337.220001;0.004547418;0.006534989;0.006331014;0.004925018;0.007189702;0.006762331;0.006485142
26/03/1990;337.630005;0.001215097;0.006553936;0.00629791;0.005280158;0.007009809;0.006495987;0.00578878
27/03/1990;341.5;0.011397043;0.006580423;0.006303705;0.005695322;0.007145897;0.007280487;0.00805876
28/03/1990;342;0.001463058;0.006403583;0.005417004;0.006872471;0.00669299;0.006744481;0.007605473
29/03/1990;340.790009;-0.003544259;0.006529328;0.005770566;0.007692539;0.006748244;0.006892383;0.004925018
30/03/1990;339.940002;-0.002497341;0.006624997;0.005618425;0.007560987;0.006750491;0.006912102;0.005280158
02/04/1990;338.700012;-0.003654342;0.006813968;0.005524068;0.007526282;0.0068128;0.006075384;0.005695322
03/04/1990;343.640015;0.014479846;0.006831391;0.00653702;0.007374381;0.00722691;0.007394194;0.006872471
04/04/1990;341.089996;-0.007448281;0.00632529;0.005218421;0.003861999;0.007323242;0.007531647;0.007692539
05/04/1990;340.730011;-0.001055953;0.006306995;0.00537405;0.002112016;0.006888012;0.007358661;0.007560987
06/04/1990;340.079987;-0.001909561;0.006368589;0.006169658;0.003158969;0.00686958;0.006331014;0.007526282
09/04/1990;341.369995;0.003786073;0.006369092;0.006168015;0.002559961;0.006605155;0.00629791;0.007374381
10/04/1990;342.070007;0.002048497;0.006348262;0.006296177;0.002716055;0.006431913;0.006303705;0.003861999
11/04/1990;341.920013;-0.000438585;0.007978303;0.006340087;0.006028448;0.006424845;0.005417004;0.002112016
12/04/1990;344.339996;0.0070527;0.008079955;0.006800629;0.006622882;0.006295899;0.005770566;0.003158969
16/04/1990;344.73999;0.001160951;0.00801467;0.006546922;0.005009572;0.006287752;0.005618425;0.002559961
17/04/1990;344.679993;-0.000174051;0.008026438;0.006820832;0.004298267;0.006268145;0.005524068;0.002716055
18/04/1990;340.720001;-0.011555402;0.008020805;0.007374699;0.003604715;0.006349026;0.00653702;0.006028448
19/04/1990;338.089996;-0.007748908;0.007522117;0.006982125;0.006057922;0.006443798;0.005218421;0.006622882
20/04/1990;335.119995;-0.008823459;0.007378521;0.007181122;0.006582044;0.006583976;0.00537405;0.005009572
23/04/1990;331.049988;-0.012219277;0.006956403;0.006781648;0.007116799;0.006941725;0.006169658;0.004298267
24/04/1990;330.359985;-0.002086462;0.006112535;0.005242049;0.00625382;0.006534989;0.006168015;0.003604715
25/04/1990;332.029999;0.0050424;0.006128787;0.005001138;0.006386441;0.006553936;0.006296177;0.006057922
26/04/1990;332.920013;0.002676937;0.006815723;0.004974728;0.006617474;0.006580423;0.006340087;0.006582044
27/04/1990;329.109985;-0.011510264;0.00741082;0.007664933;0.00664247;0.006403583;0.006800629;0.007116799
30/04/1990;330.799988;0.005121931;0.006679347;0.005600502;0.001793458;0.006529328;0.006546922;0.00625382
01/05/1990;332.25;0.004373771;0.006707719;0.006065656;0.001797853;0.006624997;0.006820832;0.006386441
02/05/1990;334.480011;0.006689422;0.006713084;0.006383033;0.001803764;0.006813968;0.007374699;0.006617474
03/05/1990;335.570007;0.003253479;0.006877358;0.006497532;0.002138428;0.006831391;0.006982125;0.00664247
04/05/1990;338.390015;0.008368521;0.007001323;0.006623777;0.002217324;0.00632529;0.007181122;0.001793458
07/05/1990;340.529999;0.006304104;0.007154689;0.006679272;0.007929785;0.006306995;0.006781648;0.001797853
08/05/1990;342.01001;0.004336781;0.007332532;0.006757795;0.007892752;0.006368589;0.005242049;0.001803764
09/05/1990;342.859985;0.002482151;0.007977447;0.006789107;0.008725558;0.006369092;0.005001138;0.002138428
10/05/1990;343.820007;0.002796128;0.008073026;0.007063816;0.009155783;0.006348262;0.004974728;0.002217324
11/05/1990;352;0.023512891;0.008352301;0.008251761;0.009289183;0.007978303;0.007664933;0.007929785
14/05/1990;354.75;0.00778214;0.007129268;0.006855766;0.003279283;0.008079955;0.005600502;0.007892752
15/05/1990;354.279999;-0.001325758;0.007145435;0.006632303;0.003915602;0.00801467;0.006065656;0.008725558
16/05/1990;354;-0.000790645;0.007130678;0.006573735;0.003629095;0.008026438;0.006383033;0.009155783
17/05/1990;354.470001;0.001326806;0.00803991;0.006592724;0.003289116;0.008020805;0.006497532;0.009289183
18/05/1990;354.640015;0.000479514;0.008082937;0.007094937;0.003947418;0.007522117;0.006623777;0.003279283
21/05/1990;358;0.009429754;0.008087089;0.007222428;0.006596034;0.007378521;0.006679272;0.003915602
22/05/1990;358.429993;0.001200377;0.007889441;0.00721701;0.009009573;0.006956403;0.006757795;0.003629095
23/05/1990;359.290009;0.002396523;0.008434528;0.007473346;0.009016734;0.006112535;0.006789107;0.003289116
24/05/1990;358.410004;-0.002452293;0.008588622;0.008395188;0.009001615;0.006128787;0.007063816;0.003947418
25/05/1990;354.579987;-0.01074364;0.008581898;0.008675732;0.008929245;0.006815723;0.008251761;0.006596034
29/05/1990;360.649994;0.016973989;0.008515057;0.008451046;0.006329969;0.00741082;0.006855766;0.009009573
30/05/1990;360.859985;0.000582088;0.007841425;0.007348428;0.004786217;0.006679347;0.006632303;0.009016734
31/05/1990;361.230011;0.001024875;0.007844976;0.007588563;0.005727742;0.006707719;0.006573735;0.009001615
01/06/1990;363.160004;0.005328614;0.007899071;0.007587857;0.006443768;0.006713084;0.006592724;0.008929245
04/06/1990;367.399994;0.011607637;0.007819392;0.008841899;0.007820062;0.006877358;0.007094937;0.006329969
05/06/1990;366.640015;-0.002070675;0.007753104;0.008076991;0.00658857;0.007001323;0.007222428;0.004786217
06/06/1990;364.959991;-0.004592747;0.007981346;0.008158653;0.009206506;0.007154689;0.00721701;0.005727742
07/06/1990;363.149994;-0.004971778;0.007985375;0.008262339;0.00912758;0.007332532;0.007473346;0.006443768
08/06/1990;358.709991;-0.012301718;0.008102888;0.009027358;0.009186533;0.007977447;0.008395188;0.007820062
11/06/1990;361.630005;0.008107366;0.008204582;0.008714358;0.00698032;0.008073026;0.008675732;0.00658857
12/06/1990;366.25;0.012694557;0.008384787;0.008169714;0.009494956;0.008352301;0.008451046;0.009206506
13/06/1990;364.899994;-0.003692833;0.008023305;0.007556076;0.007101301;0.007129268;0.007348428;0.00912758
14/06/1990;362.899994;-0.005496029;0.008026284;0.00804906;0.00751595;0.007145435;0.007588563;0.009186533
15/06/1990;362.910004;2.7583E-05;0.007978396;0.007998847;0.007862015;0.007130678;0.007587857;0.00698032
